,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
7695,35156997.0,"habitaciÃ³n cÃ³moda con Netflix, 35% descto. por mes",260678088,Maria,CoyoacÃ¡n,19.314,-99.1222,Private room,279.0,3.0,8.0,08/06/2022,0.22,1.0,346.0,1.0
7696,34777724.0,Loft para Ejecutivos / estacionamiento /vigilancia,123798862,Jessica,Benito JuÃ¡rez,19.38366,-99.17156,Private room,580.0,1.0,9.0,18/06/2022,3.6,1.0,361.0,9.0
7697,34785187.0,"RecÃ¡mara independiente, tipo hotel, sÃºper ubicada",189604483,Elsa,CoyoacÃ¡n,19.34136,-99.18455,Private room,445.0,2.0,1.0,07/01/2022,0.18,6.0,263.0,1.0
7698,35158752.0,Depto. Amueblado muy cerca del Aereopuerto  CDMX,131123617,Maria Elena,Venustiano Carranza,19.42478,-99.09633,Entire home/apt,714.0,5.0,1.0,15/03/2020,0.04,1.0,364.0,0.0
7699,35159853.0,Casa entera con huertito en CoyoacÃ¡n,48179042,Elda,CoyoacÃ¡n,19.33585,-99.13089,Entire home/apt,645.0,2.0,41.0,25/04/2022,1.22,1.0,101.0,14.0
7700,34785560.0,COMODA HABITACION PARA MEDICOS RESIDENTES,20456562,Sergio,Tlalpan,19.29558,-99.16712,Private room,400.0,1.0,1.0,28/09/2020,0.05,4.0,365.0,0.0
7701,34788158.0,"Hospedaje cerca de Ciudad Universitaria UNAM,",262308077,Yolanda,CoyoacÃ¡n,19.32037,-99.1552,Private room,450.0,1.0,0.0,31/12/2022,1.5860325810283387,1.0,90.0,0.0
7702,35161077.0,CÃ³modo alojamiento en el sur de la ciudad,264802819,JosÃ© Edgar GermÃ¡n,Xochimilco,19.2753,-99.12341,Private room,202.0,2.0,4.0,24/01/2020,0.12,1.0,363.0,0.0
7703,34789433.0,Mr. W | Vintage Breeze,261857354,Mr. W,CuauhtÃ©moc,19.42424,-99.16868,Entire home/apt,1867.0,1.0,6.0,01/01/2022,0.16,44.0,276.0,2.0
7704,35161546.0,CÃ³moda habitaciÃ³n independiente con terraza,259166079,Iveth,Benito JuÃ¡rez,19.38887,-99.15125,Private room,400.0,1.0,0.0,31/12/2022,1.5860325810283387,1.0,179.0,0.0
7705,35161732.0,"IncreÃ­ble CASA en la ROMA, cerca Condesa, WTC",207658931,Gabriela,Benito JuÃ¡rez,19.40001,-99.16862,Entire home/apt,1119.0,3.0,3.0,02/11/2019,0.08,12.0,210.0,0.0
7706,34789436.0,"SAN PETER WTC: ArmÃ³nico, limpio y sanitizado.",262318731,Alexander,Benito JuÃ¡rez,19.39112,-99.1852,Entire home/apt,890.0,2.0,71.0,07/06/2022,1.89,1.0,263.0,22.0
7707,35162311.0,Basic flat at la Condesa,21941749,Karla,CuauhtÃ©moc,19.41402,-99.1686,Entire home/apt,1000.0,3.0,14.0,30/04/2022,0.38,6.0,237.0,3.0
7708,35163047.0,Acogedora casita con jardÃ­n.,264820102,Amaranta,Benito JuÃ¡rez,19.38477,-99.14423,Entire home/apt,550.0,7.0,3.0,01/08/2021,0.08,1.0,0.0,1.0
7709,35163913.0,âDepartamento Premium  Roof Garden en EscandÃ³nâ,202364330,Jorge,Miguel Hidalgo,19.40192,-99.1828,Entire home/apt,757.0,1.0,204.0,31/05/2022,5.63,2.0,85.0,45.0
7710,35165380.0,"HabitaciÃ³n Golondrina 
Master bedroom",121414463,Penney,CuauhtÃ©moc,19.41941,-99.17517,Private room,1200.0,2.0,0.0,31/12/2022,1.5860325810283387,4.0,141.0,0.0
7711,35165580.0,"Excelente vista, piscina y a 15 min de Polanco",61586482,Hugo,Azcapotzalco,19.46466,-99.15951,Entire home/apt,800.0,2.0,86.0,07/11/2021,2.34,1.0,0.0,10.0
7712,35165822.0,Living in La Condesa 2BR Cozy Flat,1508801,Irma,CuauhtÃ©moc,19.41164,-99.17477,Entire home/apt,750.0,3.0,31.0,05/04/2022,0.84,2.0,0.0,20.0
7713,35196533.0,"JUUB New Boutique Apartment, Polanco District (R3)",267983259,Marco,Miguel Hidalgo,19.44359,-99.20644,Entire home/apt,995.0,2.0,28.0,26/05/2022,0.76,29.0,315.0,7.0
7714,35197292.0,Casai Gorgeous 2 BR Apt with Shared Rooftop,236301634,Casai Mexico,CuauhtÃ©moc,19.40971,-99.17584,Entire home/apt,1336.0,1.0,109.0,12/06/2022,2.99,87.0,252.0,45.0
7715,35200326.0,Suite Maguey Condesa,176203961,HÃ©ctor Y Karen,CuauhtÃ©moc,19.40785,-99.16885,Entire home/apt,357.0,2.0,91.0,27/05/2022,2.44,6.0,47.0,50.0
7716,35204370.0,âª Mexican Style âª At the Best Street of Condesa,62975117,Rodrigo,CuauhtÃ©moc,19.411642,-99.173584,Entire home/apt,1405.0,1.0,131.0,15/06/2022,3.54,2.0,346.0,51.0
7717,35218528.0,Casai Chic Modern La Condesa Apt,236301634,Casai Mexico,CuauhtÃ©moc,19.41021,-99.17802,Entire home/apt,1817.0,1.0,63.0,16/06/2022,1.72,87.0,244.0,16.0
7718,35220910.0,"Casai Gorgeous Modern Apt in Condesa, w Terrace!",236301634,Casai Mexico,CuauhtÃ©moc,19.41149,-99.17728,Entire home/apt,2042.0,1.0,112.0,05/06/2022,3.01,87.0,257.0,21.0
7719,35221940.0,"Casai Modern, Art Deco Space in La Condesa w Terrace!",236301634,Casai Mexico,CuauhtÃ©moc,19.41158,-99.1778,Entire home/apt,1817.0,1.0,95.0,19/06/2022,2.55,87.0,252.0,34.0
7720,35223544.0,Moderno e IncreÃ­ble Departamento en Av Santa Fe,152214802,Humberto,Cuajimalpa de Morelos,19.36218,-99.26679,Entire home/apt,2500.0,2.0,4.0,26/11/2019,0.12,1.0,363.0,0.0
7721,35225648.0,"#601 City Center! 2bdrm Apt. A/C, Private terrace.",251637911,Alice & Albert,CuauhtÃ©moc,19.42801,-99.13541,Entire home/apt,1541.0,1.0,6.0,06/11/2021,0.32,2.0,0.0,1.0
7722,35226205.0,"Casai Hip, Modern Tech Condo w Rooftop in La Condesa",236301634,Casai Mexico,CuauhtÃ©moc,19.41116,-99.17782,Entire home/apt,1861.0,1.0,70.0,16/05/2022,1.93,87.0,260.0,13.0
